Stasiun / UPT,Deskripsi,Wilayah,Negara,daerah administratif,Koordinat,Alamat
Stasiun Meteorologi Kelas III Dabo - Lingga,Stasiun Meteorologi Kelas III Balai Besar Wilayah I Medan yang terletak di Lingga, Wilayah I Medan,Indonesia,Lingga,@-0.47892311426047185/104.57782039768838,"Jl. Garuda Bandara Dabo, Dabo Singkep"
Stasiun Meteorologi Kelas III Japura - Indragiri Hulu,Stasiun Meteorologi Kelas III Balai Besar Wilayah I Medan yang terletak di Indragiri Hulu, Wilayah I Medan,Indonesia,Indragiri Hulu,@-0.3492254482245083/102.33389167014217,"Jl. Lintas Timur Bandara Japura Rengat, Kotak Pos No. 4, Air Molek, Inhu, Riau"
Stasiun Meteorologi Kelas III Raja Haji Fisabilillah - Tanjungpinang,Stasiun Meteorologi Kelas III Balai Besar Wilayah I Medan yang terletak di Tanjungpinang, Wilayah I Medan,Indonesia,Tanjungpinang,@0.9232490218699427/104.52820263738434,"Bandara Raja Haji Fisabilillah, Jl. Adi Sucipto Km 12,5 Bandara Kijang, Tanjung Pinang, Kepulauan Riau"
Stasiun Meteorologi Kelas III Malikul Saleh - Aceh Utara,Stasiun Meteorologi Kelas III Balai Besar Wilayah I Medan yang terletak di Aceh Utara, Wilayah I Medan,Indonesia,Aceh Utara,@5.228830048762481/96.94753036884154,"Jalan Meteorologi, Bandara Malikussaleh, Aceh Utara, Propinsi Aceh"
Stasiun Meteorologi Kelas III F.L. Tobing - Tapanuli Tengah,Stasiun Meteorologi Kelas III Balai Besar Wilayah I Medan yang terletak di Tapanuli Tengah, Wilayah I Medan,Indonesia,Tapanuli Tengah,@1.5533431035275436/98.8971030100531,"Bandara Pinang Sori, Sibolga, Tapanuli Tengah, Sumatera Utara"
Stasiun Meteorologi Kelas III Tarempa - Kepulauan Anambas,Stasiun Meteorologi Kelas III Balai Besar Wilayah I Medan yang terletak di Kepulauan Anambas, Wilayah I Medan,Indonesia,Kepulauan Anambas,@3.216509871534376/106.21854837883826,Jl. Hang Tuah No 45 Tarempa Kabupaten Kepulauan Anambas Kep. Riau
Stasiun Meteorologi Kelas III Cut Nyak Dhien Nagan Raya,Stasiun Meteorologi Kelas III Balai Besar Wilayah I Medan yang terletak di Cut Nyak Dhien Nagan Raya, Wilayah I Medan,Indonesia,Nagan Raya,@4.049616265822807/96.24821650347816,"Bandara Cut Nyak Dhien Maulaboh Jl. Desa Kubang Gajah Kec. Kuala, Kab. Nagan Raya"
Stasiun Meteorologi Kelas IV Aek Godang - Padang Sidempuan,Stasiun Meteorologi Kelas IV Balai Besar Wilayah I Medan yang terletak di Padang Sidempuan, Wilayah I Medan,Indonesia,Padang Sidempuan,@1.398697445146199/99.43076287196735,"Jl. Aek Godang Sibuhuan Km, 1,5 Aek Godang Kotak Pos 73 Padangsidempuan"
Stasiun Meteorologi Kelas IV Maritim Teluk Bayur - Padang,Stasiun Meteorologi Kelas IV Balai Besar Wilayah I Medan yang terletak di Padang, Wilayah I Medan,Indonesia,Padang,@-0.9838798011534909/100.38283886164427,"Jl. Cilacap No. 31A Teluk Bayur, Padang, Sumatera Barat"
Stasiun Meteorologi Kelas IV Raja Haji Abdullah - Karimun,Stasiun Meteorologi Kelas IV Balai Besar Wilayah I Medan yang terletak di Karimun, Wilayah I Medan,Indonesia,Karimun,@1.0506005160024838/103.39247624286268,"Raja Haji Abdullah Airport - Jl. Mayjen Sutoyo Km.12, Tanjung Balai, Karimun"
