#,Stasiun / UPT,Alamat,Kepala
1,Sta. Pemantau Atmosfer Global Bukit Koto TabangBBMKG Wilayah I Medan,"Jln. Raya Bukittinggi-Medan Km.17, Palupuh, Kab.Agam, Sumatera Barat 26100 0752-7446449 0752-7446089 stagaw.kototabang@bmkg.go.id","WANDAYANTOLIS, S.Si., M.Si"
2,Sta. Geof. Kelas I Padang PanjangBBMKG Wilayah I Medan,"Jl. Sultan Syahrir Silaing Bawah, Padang Panjang, Sumatera Barat 0752-82236 stageof.padangpanjang@bmkg.go.id http://region6.padang.bmkg.go.id","IRWAN SLAMET, ST, M.Si"
3,Sta. Geof. Kelas I Deli SerdangBBMKG Wilayah I Medan,"Jl. Geofisika No. 1 Tuntungan I - Pancur Batu, Deli Serdang, Sumatera Utara 061-6626975 stageof.tuntungan@bmkg.go.id","TEGUH RAHAYU, S.Kom, MM"
4,Sta. Geof. Kelas III Gunung SitoliBBMKG Wilayah I Medan,"Jl. Yos Sudarso140 B, Kel. Sambo, Gunung Sitoli, Sumatera Utara 082368409989 stageof.gunungsitoli@bmkg.go.id","BUHA MANUPOL SIMANJUNTAK, S.Kom"
5,Sta. Geof. Kelas III Aceh BesarBBMKG Wilayah I Medan,"Jl. Mata Ie, Pos Perumnas Banda Aceh. 0651-42840 stageof.mataie@bmkg.go.id","DJATI CIPTO KUNCORO, S.Si"
6,Sta. Klim. Kelas I Deli SerdangBBMKG Wilayah I Medan,Jl. Meteorologi Raya No. 17 Sampali Medan 20371 061-6628002 061-6614631 061-6614631 staklim.sampali@bmkg.go.id,"TRI AGUS PRAMONO, S.Kom"
7,Sta. Klim. Kelas II Padang PariamanBBMKG Wilayah I Medan,Stasiun Klimatologi Kelas II Sicincin Padang Pariaman 25584 0751-36491,"HERON TARIGAN, SP, M.Si"
8,Sta. Klim. Kelas IV Aceh BesarBBMKG Wilayah I Medan,"Jl. Banda Aceh Medan Km 27,5 Indrapuri, Aceh Besar 23363 staklim.indrapuri@bmkg.go.id","WAHYUDIN, S.P, M.I.Kom"
9,Sta. Met. Kelas I Hang Nadim - BatamBBMKG Wilayah I Medan,Bandara Hang Nadim Jl. Hang Nadim Batu Besar Batam Riau 29431 0778-761507 0788-761415 0788-761401 stamet.hangnadim@bmkg.go.id http://hangnadim.kepri.bmkg.go.id,"ADDI SETIADI, S.IP"
10,Sta. Met. Kelas I Kualanamu - Deli SerdangBBMKG Wilayah I Medan,,"BAMBANG SETIAJID, MT"
11,Sta. Met. Kelas I Sultan Iskandar Muda - Banda AcehBBMKG Wilayah I Medan,"Bandara Sultan Iskandar Muda Blang Bintang, Banda Aceh 23372 0651-24217 0651-31774 stamet.blangbintang@bmkg.go.id","SUGENG WIDARKO, S.Si"
12,Sta. Met. Kelas II Maritim Belawan - MedanBBMKG Wilayah I Medan,"Jl. Raya Pelabuhan III Gabion Ringkai Belawan - Medan, Sumatera Utara 20414 061-6940340 061-694851 stamar.belawan@bmkg.go.id","SUGIYONO, S.T., M.Kom"
13,Sta. Met. Kelas I Sultan Syarif Kasim II - PekanbaruBBMKG Wilayah I Medan,"Bandar Udara Sultan Syarif Kasim II Pekanbaru, Riau 28284 0761-674791 0761-674714 stamet.pekanbaru@bmkg.go.id","SUKISNO, SP"
14,Sta. Met. Kelas II Minangkabau - Padang PariamanBBMKG Wilayah I Medan,"JL.Mr.H.St.Moh Rasjid, Ketaping, Padang Pariaman, Sumatera Barat 0751-819105 0751-819156 0751-819105 stamet.tabing@bmkg.go.id","SAKIMIN, S.Si"
15,Sta. Met. Kelas III Binaka - Gunung SitoliBBMKG Wilayah I Medan,"Bandara Binaka Gunung Sitoli Nias No. 101, Gunung Sitoli stamet.binaka@gmail.com","SAMSUDIN AGUS HARYANTO, ST"
16,Sta. Met. Kelas III Maimun Saleh - SabangBBMKG Wilayah I Medan,"Bandara Udara Maimun Saleh Kota Sabang, 23522 0652-21525 0652-3324317","SISWANTO, ST, M.Si"
17,Sta. Met. Kelas III Dabo - LinggaBBMKG Wilayah I Medan,"Jl. Garuda Bandara Dabo, Dabo Singkep 0776-21247 0776-21246 stamet.dabosingkep@bmkg.go.id",SAHAT MAULI PASARIBU
18,Sta. Met. Kelas III Japura - Indragiri HuluBBMKG Wilayah I Medan,"Jl. Lintas Timur Bandara Japura Rengat, Kotak Pos No. 4, Air Molek, Inhu, Riau, 29352 0769-7443110","SLAMET RIYADI, SP, M.Si"
